Продукт,Красный флаг,Комментарий,Когда подходит
,маленький доход,"Если неравенство неверное, то не подходит: 
((доход - пм - n*ижд)*60)*0.7 > сд, где 
доход - сумма всех доходов, с которых уплочены налоги
пм - прожиточный минимум, всегда = 20 000
n*ижд - количество иждивенцев * 15 000
*60 - умножаем на 60 месяцев
сд - сумма всех долгов",
,Клиент не испытывает никаких трудностей с обслуживанием долгов,"Совокупность: нет текущих просрочек И клиент говорит, что все у него хорошо, он может платить",
Кредит без залога,текущие активные просрочки,Сейчас любые просрочки это стоп-фактор,"- Все хорошо по кредитной истории, скорингу (если есть - чуть позже добавим критерии), есть работа, соотношение платеж / доход < 30%, клиент может в целом и сам получить кредит 
- Клиент не подходит на основные сценарии или у него настолько все хорошо по данным, что мы не можем не предложить взять потребительский кредит самостоятельно 
- В целом, если клиент не подходит на основные сценарии или выбирает именно этот сценарий, то у него могут быть отказы по самостоятельным обращениям в банки, мы предложим дополнительные варианты
- Выгодней микрозаймов и займов под ПТС, но требования к заемщику более жесткие
- Менее выгодно, чем Кредит под залог недвижимости, не требуется оформлять залог и быстрее получение, но требования к заемщику более жесткие
- Менее выгодно, чем Кредит под залог авто, не требуется оформлять залог авто, но требования к заемщику более жесткие

"
,исторические просрочки,"- более 1 месяца за последние 6 месяцев
- более 3 месяцев за последние 12 месяцев
- более 6 месяцев за последние 36 месяцев",
,"исторические просрочки + пробует, но отказывают","Тут упрощаем, можно просто спросить, если были просрочки - сколько длились по времени + пытались получить кредит и где, обычно пробуют и везде отказы",
,"суды с кредиторами (пока откладываем, это как будто лишние вопросы)","По сути указывает на максимальный срок просрочки
Является абсолютным стоп-фактором
Может проявляться как действующий процесс, так и завершенный, тогда требование обычно уже у приставов (ФССП)",
,микрокредиты или обращения за ними,"Красный флаг на уровне просрочек сейчас, микрозаймами так же могут быть рассрочки на маркетплейсах и всякие яндекс-сплиты",
,"регион проживания
","СКФО - подкручен в ноль
Новые территории (кроме Крыма) - ВТБ, Сбер, ПСБ, на этом все",
,высокая нагрузка ,"выплаты / белый доход > 50%
(выплаты + платеж по новому кредиту) / белый доход > 50%",
,нет работы,На нет и суда нет),
,процедура банкротства,активная или завершенная < 5 лет назад,
,возраст,< 21 или > 65 лет,
Микрокредит без залога,процедура банкротства,активная или завершенная < 5 лет назад,"- Суммы до 300к,особенно мелкие суммы 0-100к, когда нужно срочно, плохая КИ, везде отказы и прочие варианты не подходят
- Самый дорогой вариант в самых крайних случаях"
,возраст,< 21 или > 65 лет,
Кредит под залог авто,отсутствие самого залога,нет авто - нет кредита под залог,"- Все хорошо по кредитной истории, скорингу (если есть - чуть позже добавим критерии), есть работа, есть авто, соотношение платеж / доход < 40%, клиент может в целом и сам получить кредит 
- Выгодней микрозаймов и займов под ПТС, но требования к заемщику более жесткие
- Чуть выше ставки, чем под залог недвижимости, но быстрее и в залог только авто
- Выгодней, чем потребительский кредит, все виды займов"
,текущие активные просрочки,Сейчас любые просрочки это стоп-фактор,
,исторические просрочки,"- более 1 месяца за последние 6 месяцев
- более 3 месяцев за последние 12 месяцев
- более 6 месяцев за последние 36 месяцев",
,"суды с кредиторами (пока откладываем, это как будто лишние вопросы)","По сути указывает на максимальный срок просрочки
Является абсолютным стоп-фактором
Может проявляться как действующий процесс, так и завершенный, тогда требование обычно уже у приставов (ФССП)",
,"регион проживания
","СКФО - подкручен в ноль
Новые территории (кроме Крыма) - ВТБ, Сбер, ПСБ, на этом все",
,высокая нагрузка ,"выплаты / белый доход > 50%
(выплаты + платеж по новому кредиту) / белый доход > 50%",
,нет работы,На нет и суда нет),
,процедура банкротства,активная или завершенная < 5 лет назад,
,возраст,< 18 или > 85 лет,
Кредит под залог недвижимости - вспомогательный,отсутствие самого залога,нет объекта - нет кредита под залог,"- Нужна сумма более 300 000
- Есть много кредитов, нужен еще один, но банки отказывают в потребительском кредите
- Есть много кредитов, можно все объединить в один залоговый, платить меньше ежемесячно в одно место и еще сверху получить сумму наличными ""на руки""
- Есть текущее обременение в виде ареста - можно получить новое одобрение под залог этой эе недвижимости, снять арест и получить кредит 
- Есть текущее обременение залога - можно получить новое одобрение под залог этой эе недвижимости, снять арест и получить кредит
- Есть текущий залог под высокую ставку, можно взять новый кредит, платить меньше, еще и деньги останутся
- Самый выгодный по ставке, самые большие сроки кредита и суммы
- Можно с просрочками и плохой кредитной историей"
,неподходящий регион объекта залога,"Кроме тех регионов и населенных пунктов, которые входят в ""Кредит под залог недвижимости - основной",
,неподходящий типы недвижимости ,"Смотрим только:
квартиры
апартаменты
коммерческую недвижимость
таунхаусы
дома ИЖС",
,неприватизированная недвижимость,Муниципальная недвижимость не может быть заложена,
,доля с несовершеннолетним,"Не рассматриваем, стоп-фактор",
,нет согласия всех собственников,"Единоличный собственник - лучшее, что может быть, 
в остальных случаях нужны согласия всех собственников,
если покупалась в браке - согласие супруга/супруги ",
,процедура банкротства,активная ,
,маленькая сумма < 300 000 рублей,"клиент не хочет брать более 300 000 рублей, то есть если сумма маленькая для данного продукта",
,текущее обременение - ипотека,не сможет сам провести сделку ,
,текущее обременение - арест,не сможет сам провести сделку ,
,текущее обременение - залог,не сможет сам провести сделку ,
,возраст,< 21 или > 65 лет,
